materia,codigo,horas,aulas
Matematicas,MA,4,C1|C2|C3|C4|C5
Lenguaje,LE,4,C1|C2|C3|C4|C5
Biologia,BI,2,C4|C5
Computacion,CO,3,C6|C7|C8
Fisica,FI,3,C1|C2|C3|C6|C7
Teologia,TE,1,C1|C2|C3|C4|C5
Quimica,QU,3,C4|C5
Calculo,CA,4,C1|C2|C3|C4|C5
Estadistica,ES,3,C1|C2|C3|C4|C5
Economia,EC,2,C8|C9
Aritmetica,AR,4,C2|C3|C6
Geografia,GE,2,C6|C8|C9
Trigonometria,TR,3,C1|C5|C7|C8
Historia,HI,2,C3|C7|C8
Literatura,LI,2,C7|C8|C9
Ingles,IN,2,C2|C3|C4
Geometria,GM,4,C4|C5|C9
Arte,AT,1,C3|C5|C6
Algebra,AG,3,C4|C6|C7
